carfourre;999842977;6,440; 
επι χάνδακος - καφετέρια;επιχανδα;11,00; 
cyta;998646157;17,860; 
cyta;998646157;16,610; 
συνεταιριστική ασφαλιστική αεεγα;094065956;178,50; 
ράπτη παρασκευή-παγωτό gelatto;114263350;2,90; 
βαφτίσεις;βαφτίσεις;40,00; 
παγκρήτια τράπεζα;096121548;3,60; 
παγκρήτια τράπεζα;096121548;0,260; 
παγκρήτια τράπεζα;096121548;4,620; 
κουμουλας αε βενζιναδικο;999678050;15,00; 
α/β βασιλόπουλος;094025817;13,690; 
mr. print-ι.βασιλακης-π.κοτσαριδης ο.ε;998444105;10,00; 
βασιλάκης στυλιανός φρουταγορά;059912136;7,50; 
επι χάνδακος - καφετέρια;επιχανδα;6,00; 
moto gp-γιαννης ψυχογιος;079876702;85,00; 
moto gp-γιαννης ψυχογιος;079876702;5,00; 
α/β βασιλόπουλος;094025817;20,090; 
κουμουλας αε βενζιναδικο;999678050;20,00; 
ερανοι;ερανοι;5,00; 
almyra-κ.καραντινός μ. μυλωνάκης οε εστιατόριο καφέ μπαρ;997855154;10,00; 
live2-επε-υπηρεσίες δημοσίων θεαμάτων;800335060;15,00; 
hetzner online ag;812871812;7,90; 
barberblades2010-ebay-seller ξυριστικά;123741829;25,870; 
α/β βασιλόπουλος;094025817;11,520; 
ευκάλυπτος καφετέρια;ευκαλυπ;3,00; 
κουμουλας αε βενζιναδικο;999678050;20,00; 
σινεμά ο παράδεισος- αρχάνες;σινεμαπαρ;2,40; 
ράπτη παρασκευή-παγωτό gelatto;114263350;2,90; 
hondos center ηρακλείου;099879258;7,70; 
hondos center ηρακλείου;099879258;1,10; 
γελασάκης ναυτ. πρακτ. μον. επε-πρατήριο καυσίμων;997570818;20,00; 
καντίνα μαράθι;καντ-μαρ;10,00; 
wfactory_ebay_seller;wfactory;17,410; 
καστελιανός εμμανουήλ εμπόριο τροφίμων-λαχανικών;07662257;4,890; 
βαφτίσεις;βαφτίσεις;30,00; 
α/β βασιλόπουλος;094025817;9,870; 
cosmote;094493766;15,060; 
moto gp-γιαννης ψυχογιος;079876702;70,00; 
σπύρος παπαδόπουλος & σια οε-περιοδεύων θίασος;998765910;15,00; 
κουμουλας αε βενζιναδικο;999678050;20,00; 
δεη;090000045;143,250; 
il baretto μυκωνιάτηδ.-μακράκη σ οε;997579087;6,00; 
α/β βασιλόπουλος;094025817;8,460; 
α/β βασιλόπουλος;094025817;10,430; 
mr. print-ι.βασιλακης-π.κοτσαριδης ο.ε;998444105;8,00; 
cyta;998646157;13,060; 
wash experts;998090095;30,00; 
α/β βασιλόπουλος;094025817;21,120; 
wash experts;998090095;25,00; 
fountain pen revolution;fpr;9,190; 
α/β βασιλόπουλος;094025817;0,960; 
domains24;099057539;17,10; 
wash experts;998090095;20,00; 
οπτικά σηφάκης;046765849;40,00; 
κουτσάκης ηρακλής-ψησταριά;059131381;4,50; 
κυπραίος γεώργιος-τακούνι σούπερ;046758999;3,00; 
hetzner online ag;812871812;7,90; 
κουμουλας αε βενζιναδικο;999678050;20,00; 
makro;094241249;19,840; 
γάμοι;γάμοι;30,00; 
cosmote;094493766;15,790; 
α/β βασιλόπουλος;094025817;19,00; 
cyta;998646157;16,130; 
ηνίοχος αρχάνες;ηνίοχος;3,00; 
κουμουλας αε βενζιναδικο;999678050;20,00; 
lidl;093683423;10,530; 
ρομπογιαννάκης-ανταλλακτικά-υδραυλικά;ρομπο;10,50; 
αλεξακης χαραλαμπος-φωτογραφικα ειδη-ασημικά-ρολόγια;038464868;3,00; 
γάμοι;γάμοι;40,00; 
κορνάρος tools;103655756;15,00; 
κυπραίος γεώργιος-τακούνι σούπερ;046758999;3,00; 
praktiker;094317955;12,980; 
google;google;50,00; 
microcom_ebay_seller;microcom;28,180; 
α/β βασιλόπουλος;094025817;3,440; 
cyta;998646157;16,130; 
α/β βασιλόπουλος;094025817;10,310; 
hetzner online ag;812871812;7,90; 
δεη;090000045;248,030; 
cosmote;094493766;14,850;test

