κουμουλας αε βενζιναδικο;999678050;20,00
κουμουλας αε βενζιναδικο;999678050;22,00
απλαδά αριστέα σουπερ μάρκετ;047622387;3,70
cosmote;094493766;5,640
κουμουλας αε βενζιναδικο;999678050;15,50
cosmote;094493766;15,00
τεχνοπολις;999981756;10,00
carfourre;999842977;19,30
thesporshq-skini-ebay;thesporsh;46,260
dia;998163111;13,640
κουμουλας αε βενζιναδικο;999678050;18,00
κοτονέον;047217161;7,20
lidl;093683423;11,270
οτε;094019245;51,00
amazon;998770297;145,280
παγκρήτια τράπεζα;096121548;160,780
carfourre;999842977;45,760
wash experts;998090095;20,00
ελτα;094026421;1,270
dia;998163111;3,570
δεη;090000045;128,050
μινεττα ασφαλιστική;094040925;108,840
α.αναγνώστου και σια ε.ε σουπερμάρκετ;093544724;4,470
τεχνοπολις;999981756;7,00
cosmote;094493766;14,230
cosmote;094493766;15,00
carfourre;999842977;56,170
δονταδάκης αντώνιος-βιβλιοπωλείο;013750008;3,70
κουμουλας αε βενζιναδικο;999678050;12,00
αριάδνη σουπερ μαρκετ;998865815;1,420
πρατηριο-ρωμανια αικατερινη;041302497;15,020
πλαισιο;094222211;15,00
lidl;093683423;10,170
κουμουλας αε βενζιναδικο;999678050;10,00
yacht-cafe;999270866;2,50
peackocks;999992899;34,50
α.αναγνώστου και σια ε.ε σουπερμάρκετ;093544724;4,890
απλαδάς-ζαχαροπλαστείο;028112578;1,70
α.αναγνώστου και σια ε.ε σουπερμάρκετ;093544724;5,170
α.αναγνώστου και σια ε.ε σουπερμάρκετ;093544724;16,370
shell;094475066;24,00
τραντας περίπτερο;103819640;3,20
παγκρήτια τράπεζα;096121548;160,780
συνεταιριστική ασφαλιστική αεεγα;094065956;302,50
chinavasion whole sales site;chinavasi;85,080
περίπτερο τσαλίχης κωνσταντίνος;125587385;1,70
δευαη;090030037;64,00
cosmote;094493766;15,00
cosmote;094493766;13,910
easyjet;easyjet;302,410
easyjet;easyjet;80,00
amazon;998770297;17,460
κουμουλας αε βενζιναδικο;999678050;20,00
europcar;eurocar;114,00
συνεταιριστική ασφαλιστική αεεγα;094065956;302,00
α.αναγνώστου και σια ε.ε σουπερμάρκετ;093544724;3,850
περίπτερο τσαλίχης κωνσταντίνος;125587385;3,20
τεχνοπολις;999981756;7,00
α.αναγνώστου και σια ε.ε σουπερμάρκετ;093544724;18,180
cafe-heaven κοντογιάννη γεωργία;103822784;11,50
grand πιτσαρία;998864289;6,00
κουμουλας αε βενζιναδικο;999678050;15,00
τραντας περίπτερο;103819640;3,30
α.αναγνώστου και σια ε.ε σουπερμάρκετ;093544724;4,680
περίπτερο τσαλίχης κωνσταντίνος;125587385;1,80
εαπ;090207683;700,00
περίπτερο τσαλίχης κωνσταντίνος;125587385;1,30
παγκρήτια τράπεζα;096121548;160,780
cosmote;094493766;5,40
περίπτερο τσαλίχης κωνσταντίνος;125587385;1,80
κουμουλας αε βενζιναδικο;999678050;20,00
creta cinemas-odeon talos;998643653;8,00
α.αναγνώστου και σια ε.ε σουπερμάρκετ;093544724;13,390
κουμουλας αε βενζιναδικο;999678050;30,00
τραντας περίπτερο;103819640;16,00
κουμουλας αε βενζιναδικο;999678050;20,00
ερμης αεμεε-βενζινάδικο;094025320;20,00
περίπτερο τσαλίχης κωνσταντίνος;125587385;0,60
cosmote;094493766;15,00
cosmote;094493766;18,110
περίπτερο τσαλίχης κωνσταντίνος;125587385;1,80
οτε;094019245;75,50
δεη;090000045;72,130
ταμιωλακης εμ. & σια ε.ε-εστιατοριο;093424505;4,450
κυπριωτάκη ειρήνη-mountain club;047214620;5,00
κάμπινγκ κουτσουνάρι-μαρία χριστάκη;042008177;29,00
μινι μάρκετ-κουτσουνάρι;045249175;3,950
κάμπινγκ κουτσουνάρι-μαρία χριστάκη;042008177;3,40
κουμουλας αε βενζιναδικο;999678050;34,20
αναψυκτήριο-μπορμπουδάκη χριστ;041978958;5,00
α.αναγνώστου και σια ε.ε σουπερμάρκετ;093544724;20,090
qualitystuf-ac-adapter;qualityst;6,660
περίπτερο τσαλίχης κωνσταντίνος;125587385;0,60
mr. print-ι.βασιλακης-π.κοτσαριδης ο.ε;998444105;7,00
5η εποχή τέχνης-θίασος;997956856;15,00
πανάγος πουλακίδης επε-βιοτεχνία παγωτού;998217640;4,50
κουκουβάγια-καφετέρια-ζαχαροπλαστείο;997678692;15,80
κουκουβάγια-καφετέρια-ζαχαροπλαστείο;997678692;21,60
κουκουβάγια-καφετέρια-ζαχαροπλαστείο;997678692;6,20
κουμουλας αε βενζιναδικο;999678050;20,00
χαλκιαδάκης σουπερμάρκετ;094113461;5,090
κουμουλας αε βενζιναδικο;999678050;20,00
παγκρήτια τράπεζα;096121548;2000,00
φεκ;φεκ;12,00
περίπτερο τσαλίχης κωνσταντίνος;125587385;0,60
περίπτερο τσαλίχης κωνσταντίνος;125587385;2,80
κουμουλας αε βενζιναδικο;999678050;12,00
περίπτερο τσαλίχης κωνσταντίνος;125587385;2,80
carfourre;999842977;4,470
γάμοι;γάμοι;40,00
asian food α.ε (noodle bar);997791523;8,30
κουμουλας αε βενζιναδικο;999678050;18,00
α.αναγνώστου και σια ε.ε σουπερμάρκετ;093544724;3,950
telecom-world;telecom-w;3,510
skype;skype;13,560
περίπτερο τσαλίχης κωνσταντίνος;125587385;0,60
cosmote;094493766;15,480
cosmote;094493766;15,00
γάμοι;γάμοι;40,00
κουμουλας αε βενζιναδικο;999678050;20,00
κουμουλας αε βενζιναδικο;999678050;20,00
orange uk;771592016;5,64999999999999950
orange uk;771592016;11,2999999999999990
lidl;093683423;9,090
news cafe;998635179;5,00
χρυσοχοείο αλεξάκης γεώργιος;013612644;120,00
κουμουλας αε βενζιναδικο;999678050;20,00
carfourre;999842977;4,790
περίπτερο τσαλίχης κωνσταντίνος;125587385;1,90
α.αναγνώστου και σια ε.ε σουπερμάρκετ;093544724;3,910
lidl;093683423;6,560
la notte πιτσαρία-βολωνάκης χαράλαμπος;999676934;5,80
καστελάκη-εμπόριο τροφίμων;076662257;2,490
πετράκης μίνι μάρκετ;103506751;1,280
παγκρήτια τράπεζα;096121548;109,260
carfourre;999842977;7,030
la notte πιτσαρία-βολωνάκης χαράλαμπος;999676934;8,40
νικολαιδης λουκας-περιπτερο αεροδρομιο;032990140;0,50
historic scotland (urquhart castle);historic;8,2511999999999990
loch ness exhibition;lochnesex;29,2115399999999960
whsmith retail (gatwick airport);238554836;1,380
whsmith retail (gatwick airport);238554836;5,73850
the loch ness centre drumnadrocht;297420731;7,4750
southbound forecourt services westmorland ltd;859709174;34,81050
sainburys;660454836;4,830
sainburys;660454836;5,2324999999999990
shell uk ltd;235763255;46,00
millies cookies-marks & spencer;884257978;3,43850
millies cookies-marks & spencer;884257978;4,02499999999999950
morrisons supermarket;343475355;7,5209999999999990
west trends ltd tia rawhide, oxford plaza;westrents;23,00
costa cafe gatwick;243292864;3,11040
τσιάμπας νικόλαος-ειδικός παθολόγος;106191336;20,00
αταλάντη βασιλάκη-χειρουργος οδοντίατρος;047830127;50,00
χρυσουλάκη ελένη-μικροβιολόγος;078240591;31,20
υπουργείο οικονομικών;υπ.οικον;1,60
υπουργείο οικονομικών;υπ.οικον;0,10
υπουργείο οικονομικών;υπ.οικον;27,510
υπουργείο οικονομικών;υπ.οικον;32,210

